Date,Close, NASDAQ Composite Index, S&P 500 Index,S&P 500 Volatility Index (VIX), Gold spot closing price per troy ounce($/oz),U.S. Dollar Index,Eurozone: Benchmark Rate (Major Refinancing Rate),USA: Federal Funds Target Rate,China: T-Bond Yield: 10Y,US 10-Year Breakeven Inflation Rate,World: Geopolitical Risk Index,Index of Global Real Economic Activity (Kilian),latest_size,latest_weight,latest_transaction_count,latest_input_value,latest_tansaction_fee,SMA,EMA,MACD,MACD_signal,MACD_diff,Google_trends,Decred - Tweets
2022/12/31,16538.3479,10446.6075,3835.66,21.9775,1820.075,103.5824333,2.5,4.5,2.8408,2.29,111.195938,-15.009042,1642020,3993003,2452,203902,830,16834.87704,17139.776,-1497.315859,-1452.855333,-44.46052603,19.93548387,77382
2022/12/30,16603.75195,10466.48,3839.5,21.67,1812.35,103.4895,2.5,4.5,2.841,2.3,111.3740137,-15.37476623,538817,1556699,1182,2033534,838,16775.77436,17042.31708,-1447.648515,-1451.813969,4.165454531,19.87096774,97462
2022/12/29,16641.44486,10478.09,3849.28,21.44,1813.75,103.9747,2.5,4.5,2.8406,2.27,111.5520895,-15.74049045,1649483,3993302,3806,20403685,512,16732.86139,16969.43122,-1389.231092,-1439.297394,50.06630149,19.80645161,96225
2022/12/28,16549.98327,10213.29,3783.22,22.14,1803.35,104.5291,2.5,4.5,2.863,2.28,111.7301652,-16.10621468,756520,1691659,550,52548106,409,16693.40576,16893.16796,-1334.926845,-1418.423284,83.49643891,19.74193548,107117
2022/12/27,16706.45971,10353.23,3829.25,21.65,1802.16,104.2013,2.5,4.5,2.8622,2.26,111.908241,-16.4719389,1619057,3993347,1829,1002753,4294,16668.65452,16859.221,-1264.68549,-1387.675725,122.9902355,19.67741935,85632
2022/12/26,16908.94843,10389.3875,3833.1425,21.455,1800.97,104.1681,2.5,4.5,2.8428,2.245,112.0863167,-16.83766313,228022,609064,573,5365261,10973,16676.66473,16868.26235,-1179.087772,-1345.958134,166.8703625,19.61290323,98656
2022/12/25,16829.9184,10425.545,3837.035,21.26,1799.78,104.2199,2.5,4.5,2.8448,2.23,112.2643925,-17.20338735,3395,10118,13,11038596,2846,16673.9283,16861.29073,-1104.891525,-1297.744813,192.8532876,19.5483871,86375
2022/12/24,16833.8821,10461.7025,3840.9275,21.065,1798.59,104.2717,2.5,4.5,2.8468,2.215,112.4424682,-17.56911158,1491922,3993241,3175,199248871,6804,16689.7256,16856.30734,-1033.853013,-1244.966453,211.1134393,19.48387097,84020
2022/12/23,16780.46368,10497.86,3844.82,20.87,1797.4,104.3235,2.5,4.5,2.8488,2.2,112.6205439,-17.93483581,1462523,3993335,2290,506765,1866,16700.02698,16842.51758,-970.6755581,-1190.108274,219.4327157,19.41935484,110257
2022/12/22,16822.06214,10476.12,3822.39,21.97,1800.7,104.381,2.5,4.5,2.8563,2.19,112.7986197,-18.30056003,1486737,3993357,3195,2000000,2443,16721.52624,16838.79841,-906.7973257,-1133.446084,226.6487585,19.35483871,88226
