Date,Close, NASDAQ Composite Index, S&P 500 Index,S&P 500 Volatility Index (VIX), Gold spot closing price per troy ounce($/oz),U.S. Dollar Index,Eurozone: Benchmark Rate (Major Refinancing Rate),USA: Federal Funds Target Rate,China: T-Bond Yield: 10Y,US 10-Year Breakeven Inflation Rate,World: Geopolitical Risk Index,Index of Global Real Economic Activity (Kilian)
2022/12/31,16538.3479,10446.6075,3835.66,21.9775,1820.075,103.5824333,2.5,4.5,2.8408,2.29,111.195938,-15.009042
2022/12/30,16603.75195,10466.48,3839.5,21.67,1812.35,103.4895,2.5,4.5,2.841,2.3,111.3740137,-15.37476623
2022/12/29,16641.44486,10478.09,3849.28,21.44,1813.75,103.9747,2.5,4.5,2.8406,2.27,111.5520895,-15.74049045
2022/12/28,16549.98327,10213.29,3783.22,22.14,1803.35,104.5291,2.5,4.5,2.863,2.28,111.7301652,-16.10621468
2022/12/27,16706.45971,10353.23,3829.25,21.65,1802.16,104.2013,2.5,4.5,2.8622,2.26,111.908241,-16.4719389
2022/12/26,16908.94843,10389.3875,3833.1425,21.455,1800.97,104.1681,2.5,4.5,2.8428,2.245,112.0863167,-16.83766313
2022/12/25,16829.9184,10425.545,3837.035,21.26,1799.78,104.2199,2.5,4.5,2.8448,2.23,112.2643925,-17.20338735
2022/12/24,16833.8821,10461.7025,3840.9275,21.065,1798.59,104.2717,2.5,4.5,2.8468,2.215,112.4424682,-17.56911158
2022/12/23,16780.46368,10497.86,3844.82,20.87,1797.4,104.3235,2.5,4.5,2.8488,2.2,112.6205439,-17.93483581
2022/12/22,16822.06214,10476.12,3822.39,21.97,1800.7,104.381,2.5,4.5,2.8563,2.19,112.7986197,-18.30056003
2022/12/21,16806.4165,10709.37,3878.44,20.07,1817.55,104.2598,2.5,4.5,2.8797,2.27,112.9766954,-18.66628426
2022/12/20,16902.54219,10547.11,3821.62,21.48,1813.9,103.9665,2,4.5,2.8647,2.24,113.1547712,-19.03200848
2022/12/19,16424.79671,10546.03,3817.66,22.42,1790.8,104.6791,2,4.5,2.8661,2.15,113.3328469,-19.39773271
2022/12/18,16750.76581,10599.15667,3829.226667,22.48666667,1791.383333,104.7349333,2,4.5,2.8779,2.143333333,113.5109226,-19.76345694
2022/12/17,16785.8923,10652.28333,3840.793333,22.55333333,1791.966667,104.7907667,2,4.5,2.8897,2.136666667,113.6889984,-20.12918116
2022/12/16,16608.4932,10705.41,3852.36,22.62,1792.55,104.8466,2,4.5,2.9015,2.13,113.8670741,-20.49490539
2022/12/15,17339.45827,10810.53,3895.75,22.83,1783.55,104.6057,2,4.5,2.8753,2.16,114.0451499,-20.86062961
2022/12/14,17799.16897,11170.89,3995.32,21.14,1808.05,103.6286,2,4,2.8794,2.19,114.2232256,-21.22635384
2022/12/13,17766.35055,11256.81,4019.65,22.55,1823.55,104.0158,2,4,2.9173,2.24,114.4013014,-21.59207806
2022/12/12,17220.81454,11143.74,3990.56,25,1786.6,105.0116,2,4,2.8853,2.28,114.5793771,-21.95780229
2022/12/11,17091.91654,11097.36667,3971.833333,24.27666667,1789.783333,104.9829667,2,4,2.889666667,2.273333333,114.7574528,-22.32352652
2022/12/10,17114.34059,11050.99333,3953.106667,23.55333333,1792.966667,104.9543333,2,4,2.894033333,2.266666667,114.9355286,-22.68925074
2022/12/9,17123.38673,11004.62,3934.38,22.83,1796.15,104.9257,2,4,2.8984,2.26,115.1136043,-23.05497497
2022/12/8,17254.8416,11082,3963.51,22.29,1790.15,104.8156,2,4,2.8746,2.28,115.2916801,-23.42069919
2022/12/7,16838.04747,10958.55,3933.92,22.68,1782.2,105.1983,2,4,2.9189,2.26,115.4697558,-23.78642342
2022/12/6,17088.37612,11014.89,3941.26,22.17,1773.8,105.5641,2,4,2.9112,2.31,115.6478315,-24.15214765
2022/12/5,16959.33606,11239.94,3998.84,20.75,1776.8,105.272,2,4,2.8776,2.39,115.8259073,-24.51787187
2022/12/4,17130.16533,11313.79333,4023.126667,20.18666667,1779.45,105.0179333,2,4,2.8746,2.403333333,116.003983,-24.8835961
2022/12/3,16903.72363,11387.64667,4047.413333,19.62333333,1782.1,104.7638667,2,4,2.8716,2.416666667,116.1820588,-25.24932032
2022/12/2,17088.4265,11461.5,4071.7,19.06,1784.75,104.5098,2,4,2.8686,2.43,116.3601345,-25.61504455
2022/12/1,16956.1893,11482.45,4076.57,19.84,1803.15,104.7036,2,4,2.8762,2.36,116.5382103,-25.98076877
2022/11/30,17188.63468,11468,4080.11,20.58,1753.5,105.9765,2,4,2.9102,2.34,116.716286,-26.346493
2022/11/29,16436.1924,10983.78,3957.63,21.89,1752.7,106.8126,2,4,2.9108,2.25,117.5978236,-25.23079457
2022/11/28,16212.40325,11049.5,3963.94,22.21,1746.55,106.6752,2,4,2.8441,2.26,118.4793613,-24.11509613
2022/11/27,16432.36462,11108.45333,3984.666667,21.64,1748.316667,106.4742667,2,4,2.836733333,2.28,119.3608989,-22.9993977
2022/11/26,16461.19452,11167.40667,4005.393333,21.07,1750.083333,106.2733333,2,4,2.829366667,2.3,120.2424365,-21.88369927
2022/11/25,16511.91128,11226.36,4026.12,20.5,1751.85,106.0724,2,4,2.822,2.32,121.1239742,-20.76800083
2022/11/24,16597.7313,11255.84,4026.69,20.42,1755.4,105.8617,2,4,2.7968,2.32,122.0055118,-19.6523024
2022/11/23,16615.2292,11285.32,4027.26,20.35,1740.15,106.1437,2,4,2.8231,2.32,122.8870494,-18.53660397
2022/11/22,16174.9574,11174.41,4003.58,21.29,1742.95,107.1687,2,4,2.8439,2.32,123.7685871,-17.42090553
2022/11/21,15779.9717,11024.51,3949.94,22.36,1740.4,107.8226,2,4,2.8183,2.31,124.6501247,-16.3052071
2022/11/20,16291.4477,11065.02667,3955.073333,22.61333333,1744.133333,107.5376667,2,4,2.821166667,2.29,125.5316623,-15.18950867
2022/11/19,16715.83859,11105.54333,3960.206667,22.86666667,1747.866667,107.2527333,2,4,2.824033333,2.27,126.4132,-14.07381023
2022/11/18,16711.14178,11146.06,3965.34,23.12,1751.6,106.9678,2,4,2.8269,2.25,127.2947376,-12.9581118
2022/11/17,16690.88953,11144.96,3946.56,23.93,1758.6,106.6784,2,4,2.8372,2.28,128.1762752,-11.84241337
2022/11/16,16673.50771,11183.66,3958.79,24.11,1773,106.2934,2,4,2.8187,2.29,129.0578129,-10.72671493
2022/11/15,16894.9265,11358.41,3991.73,24.54,1771.35,106.5629,2,4,2.8355,2.35,129.9393505,-9.6110165
2022/11/14,16630.63746,11196.22,3957.25,23.73,1768.9,106.8986,2,4,2.8267,2.37,130.8208881,-8.495318067
2022/11/13,16349.9976,11238.59,3969.143333,23.32666667,1765.716667,106.7351667,2,4,2.788966667,2.375,131.7024258,-7.379619633
2022/11/12,16802.1943,11280.96,3981.036667,22.92333333,1762.533333,106.5717333,2,4,2.751233333,2.38,132.5839634,-6.2639212
2022/11/11,17104.1984,11323.33,3992.93,22.52,1759.35,106.4083,2,4,2.7135,2.385,133.465501,-5.148222767
2022/11/10,17590.41467,11114.15,3956.37,23.53,1744.75,107.8847,2,4,2.7014,2.39,134.3470387,-4.032524333
2022/11/9,15789.34242,10353.17,3748.57,26.09,1715.25,110.4278,2,4,2.7009,2.42,135.2285763,-2.9168259
2022/11/8,18528.52093,10616.2,3828.11,25.54,1678.65,109.6342,2,4,2.7157,2.5,136.1101139,-1.801127467
2022/11/7,20591.7459,10564.52,3806.8,24.35,1678.95,110.1872,2,4,2.7049,2.53,136.9916516,-0.685429033
2022/11/6,20913.0539,10534.76333,3794.716667,24.41666667,1677.433333,110.3861,2,4,2.705066667,2.513333333,137.8731892,0.4302694
2022/11/5,21281.5851,10505.00667,3782.633333,24.48333333,1675.916667,110.585,2,4,2.705233333,2.496666667,138.7547268,1.545967833
2022/11/4,21156.078,10475.25,3770.55,24.55,1674.4,110.7839,2,4,2.7054,2.48,139.6362645,2.661666267
2022/11/3,20208.59651,10342.94,3719.89,25.3,1628.75,112.9842,2,4,2.6835,2.4,140.5178021,3.7773647
2022/11/2,20151.52308,10524.8,3759.69,25.86,1649.55,112.1193,2,3.25,2.6786,2.53,141.3993397,4.893063133
2022/11/1,20481.5549,10890.85,3856.1,25.81,1645.25,111.5609,1.25,3.25,2.6605,2.51,142.2808774,6.008761567
2022/10/31,20504.46023,10988.15,3871.98,25.88,1639,111.6036,1.25,3.25,2.6553,2.52,143.162415,7.12446
2022/10/30,20621.7479,11026.25,3881.673333,25.83666667,1642.016667,111.2945,1.25,3.25,2.670033333,2.516666667,142.8018813,6.494766484
2022/10/29,20811.98837,11064.35,3891.366667,25.79333333,1645.033333,110.9854,1.25,3.25,2.684766667,2.513333333,142.4413476,5.865072968
2022/10/28,20608.2579,11102.45,3901.06,25.75,1648.05,110.6763,1.25,3.25,2.6995,2.51,142.0808139,5.235379452
2022/10/27,20283.97975,10792.67,3807.3,27.39,1659.75,110.5894,1.25,3.25,2.7039,2.45,141.7202802,4.605685935
2022/10/26,20754.02397,10970.99,3830.6,27.28,1666.75,109.6982,1.25,3.25,2.7291,2.44,141.3597465,3.975992419
2022/10/25,20110.87556,11199.12,3859.11,28.46,1659.25,110.8775,1.25,3.25,2.7282,2.51,140.9992127,3.346298903
2022/10/24,19335.3937,10952.61,3797.34,29.85,1649.15,112.0087,1.25,3.25,2.7298,2.59,140.638679,2.716605387
2022/10/23,19548.7249,10921.64667,3782.476667,29.79666667,1647.183333,111.9559667,1.25,3.25,2.729433333,2.566666667,140.2781453,2.086911871
2022/10/22,19202.85297,10890.68333,3767.613333,29.74333333,1645.216667,111.9032333,1.25,3.25,2.729066667,2.543333333,139.9176116,1.457218355
2022/10/21,19166.3286,10859.72,3752.75,29.69,1643.25,111.8505,1.25,3.25,2.7287,2.52,139.5570779,0.827524839
2022/10/20,19042.9309,10614.84,3665.78,29.98,1635.3,112.8273,1.25,3.25,2.7246,2.51,139.1965442,0.197831323
2022/10/19,19124.9892,10680.51,3695.16,30.76,1631.7,112.9089,1.25,3.25,2.709,2.42,138.8360105,-0.431862194
2022/10/18,19351.0697,10772.4,3719.98,30.5,1653,112.0303,1.25,3.25,2.71,2.41,138.4754768,-1.06155571
2022/10/17,19558.1117,10675.8,3677.95,31.37,1664.75,112.0931,1.25,3.25,2.7107,2.45,138.1149431,-1.691249226
