Date,Close, NASDAQ Composite Index,EMA
2022/12/31,16538.3479,10446.6075,17139.776
2022/12/30,16603.75195,10466.48,17042.31708
2022/12/29,16641.44486,10478.09,16969.43122
2022/12/28,16549.98327,10213.29,16893.16796
2022/12/27,16706.45971,10353.23,16859.221
2022/12/26,16908.94843,10389.3875,16868.26235
2022/12/25,16829.9184,10425.545,16861.29073
2022/12/24,16833.8821,10461.7025,16856.30734
2022/12/23,16780.46368,10497.86,16842.51758
2022/12/22,16822.06214,10476.12,16838.79841
2022/12/21,16806.4165,10709.37,16832.91079
2022/12/20,16902.54219,10547.11,16845.57105
2022/12/19,16424.79671,10546.03,16769.06662
2022/12/18,16750.76581,10599.15667,16765.7392
2022/12/17,16785.8923,10652.28333,16769.4034
2022/12/16,16608.4932,10705.41,16740.147
2022/12/15,17339.45827,10810.53,16849.11269
2022/12/14,17799.16897,11170.89,17021.85019
2022/12/13,17766.35055,11256.81,17157.21389
2022/12/12,17220.81454,11143.74,17168.77765
2022/12/11,17091.91654,11097.36667,17154.8029
2022/12/10,17114.34059,11050.99333,17147.44612
2022/12/9,17123.38673,11004.62,17143.07168
2022/12/8,17254.8416,11082,17163.39348
2022/12/7,16838.04747,10958.55,17104.23966
2022/12/6,17088.37612,11014.89,17101.35538
2022/12/5,16959.33606,11239.94,17075.53369
2022/12/4,17130.16533,11313.79333,17085.46671
2022/12/3,16903.72363,11387.64667,17052.42252
2022/12/2,17088.4265,11461.5,17058.96869
2022/12/1,16956.1893,11482.45,17040.28153
2022/11/30,17188.63468,11468,17067.25483
2022/11/29,16436.1924,10983.78,16952.51621
2022/11/28,16212.40325,11049.5,16817.95021
2022/11/27,16432.36462,11108.45333,16747.84374
2022/11/26,16461.19452,11167.40667,16695.7257
2022/11/25,16511.91128,11226.36,16662.3049
2022/11/24,16597.7313,11255.84,16650.56424
2022/11/23,16615.2292,11285.32,16644.13969
2022/11/22,16174.9574,11174.41,16558.83382
2022/11/21,15779.9717,11024.51,16417.22253
2022/11/20,16291.4477,11065.02667,16394.35438
2022/11/19,16715.83859,11105.54333,16452.80605
2022/11/18,16711.14178,11146.06,16499.77618
2022/11/17,16690.88953,11144.96,16534.52406
2022/11/16,16673.50771,11183.66,16559.79382
2022/11/15,16894.9265,11358.41,16620.72703
2022/11/14,16630.63746,11196.22,16622.52893
2022/11/13,16349.9976,11238.59,16572.97778
2022/11/12,16802.1943,11280.96,16614.65351
2022/11/11,17104.1984,11323.33,16703.66167
2022/11/10,17590.41467,11114.15,16864.88949
2022/11/9,15789.34242,10353.17,16669.33548
2022/11/8,18528.52093,10616.2,17007.3692
2022/11/7,20591.7459,10564.52,17659.07405
2022/11/6,20913.0539,10534.76333,18250.70675
2022/11/5,21281.5851,10505.00667,18801.77554
2022/11/4,21156.078,10475.25,19229.83053
2022/11/3,20208.59651,10342.94,19407.78798
2022/11/2,20151.52308,10524.8,19543.01255
2022/11/1,20481.5549,10890.85,19713.65661
2022/10/31,20504.46023,10988.15,19857.43909
2022/10/30,20621.7479,11026.25,19996.40433
2022/10/29,20811.98837,11064.35,20144.69233
2022/10/28,20608.2579,11102.45,20228.97698
2022/10/27,20283.97975,10792.67,20238.97748
2022/10/26,20754.02397,10970.99,20332.6223
2022/10/25,20110.87556,11199.12,20292.30471
2022/10/24,19335.3937,10952.61,20118.32089
2022/10/23,19548.7249,10921.64667,20014.75798
2022/10/22,19202.85297,10890.68333,19867.13889
2022/10/21,19166.3286,10859.72,19739.71884
2022/10/20,19042.9309,10614.84,19613.03012
2022/10/19,19124.9892,10680.51,19524.29541
2022/10/18,19351.0697,10772.4,19492.79982
2022/10/17,19558.1117,10675.8,19504.67471
2022/10/16,19259.62065,10557.66333,19460.11943
2022/10/15,19054.8847,10439.52667,19386.44039
2022/10/14,19191.0274,10321.39,19350.91075
2022/10/13,19380.6893,10649.15,19356.32503
2022/10/12,19157.97735,10417.1,19320.26182
2022/10/11,19045.5416,10426.19,19270.31269
2022/10/10,19135.37402,10542.1,19245.77838
2022/10/9,19436.3351,10578.86667,19280.42506
2022/10/8,19401.0105,10615.63333,19302.34969
2022/10/7,19533.02825,10652.4,19344.29124
2022/10/6,19948.2219,11073.31,19454.09682
2022/10/5,20168.6041,11148.64,19584.00723
2022/10/4,20339.726,11176.41,19721.41064
2022/10/3,19610.3879,10815.43,19701.22469
2022/10/2,19035.34988,10735.49333,19580.15654
2022/10/1,19305.1719,10655.55667,19530.15934
2022/9/30,19449.60774,10575.62,19515.51359
2022/9/29,19593.33746,10737.51,19529.66339
2022/9/28,19399.48878,11051.64,19505.99528
2022/9/27,19098.47982,10829.5,19431.90156
2022/9/26,19238.7536,10802.92,19396.78375
2022/9/25,18814.0516,10824.59,19290.83245
2022/9/24,18931.73411,10846.26,19225.54184
2022/9/23,19245.96942,10867.93,19229.25595
2022/9/22,19429.13269,11066.8,19265.59717
2022/9/21,18501.82049,11220.19,19126.72869
2022/9/20,18873.2005,11425.05,19080.63265
2022/9/19,19576.6372,11535.02,19170.8153
2022/9/18,19393.59391,11506.14667,19211.3205
2022/9/17,20123.64055,11477.27333,19377.19687
2022/9/16,19756.26819,11448.4,19446.11893
2022/9/15,19662.3883,11552.36,19485.44063
2022/9/14,20251.71983,11719.68,19624.76412
2022/9/13,20172.39246,11633.57,19724.33291
2022/9/12,22387.93863,12266.41,20208.62486
2022/9/11,21789.45241,12215.04333,20496.04805
2022/9/10,21661.704,12163.67667,20707.9855
2022/9/9,21370.64087,12112.31,20828.46829
2022/9/8,19318.4204,11862.13,20553.91413
2022/9/7,19275.30356,11791.9,20321.43948
2022/9/6,18812.06104,11544.91,20047.00704
2022/9/5,19808.09596,11566.3975,20003.56866
2022/9/4,19975.3081,11587.885,19998.43037
2022/9/3,19834.79562,11609.3725,19968.6786
2022/9/2,19927.5466,11630.86,19961.20006
2022/9/1,20145.5884,11785.13,19994.72521
2022/8/31,20046.9471,11816.2,20004.2201
2022/8/30,19768.0653,11883.14,19961.28286
2022/8/29,20280.87118,12017.67,20019.38983
2022/8/28,19606.7351,12059.01667,19944.3617
2022/8/27,20050.5705,12100.36333,19963.67239
2022/8/26,20215.51485,12141.71,20009.46193
2022/8/25,21591.28483,12639.27,20297.06609
2022/8/24,21378.10481,12431.53,20493.61859
2022/8/23,21516.13082,12381.3,20679.5299
2022/8/22,21418.635,12381.57,20813.91265
2022/8/21,21515.70635,12489.45,20941.5115
2022/8/20,21163.4085,12597.33,20981.85641
2022/8/19,20840.72427,12705.21,20956.19602
2022/8/18,23206.1852,12965.34,21365.28496
2022/8/17,23311.75915,12938.12,21719.18936
2022/8/16,23889.74606,13102.55,22113.83603
2022/8/15,24146.6057,13128.05,22483.43052
2022/8/14,24323.00217,13101.09667,22817.89809
2022/8/13,24427.97318,13074.14333,23110.63902
2022/8/12,24395.938,13047.19,23344.32974
2022/8/11,23928.9778,12779.91,23450.62939
2022/8/10,23940.2045,12854.8,23539.64304
2022/8/9,23158.6991,12493.93,23470.38051
2022/8/8,23792.955,12644.46,23529.03042
2022/8/7,23170.70242,12648.82333,23463.87987
2022/8/6,22938.3603,12653.18667,23368.33086
2022/8/5,23225.78975,12657.55,23342.41429
2022/8/4,22635.52,12720.58,23213.88806
2022/8/3,22812.3048,12668.16,23140.87292
2022/8/2,22963.82554,12348.76,23108.68249
2022/8/1,23311.59284,12368.98,23145.57528
2022/7/31,23314.4296,12376.21667,23176.27606
2022/7/30,23642.24323,12383.45333,23260.99737
2022/7/29,23746.2734,12390.69,23349.22937
2022/7/28,23847.01344,12162.59,23439.73557
2022/7/27,22943.12042,12032.42,23349.44191
2022/7/26,21206.71524,11562.57,22959.85524
2022/7/25,21340.4673,11782.67,22665.42107
2022/7/24,22600.78471,11799.81667,22653.669
2022/7/23,22471.3157,11816.96333,22620.51386
2022/7/22,22701.085,11834.11,22635.16316
2022/7/21,23180.0875,12059.61,22734.24031
2022/7/20,23244.5742,11897.65,22827.02829
2022/7/19,23407.3451,11713.15,22932.54044
2022/7/18,22440.03658,11360.05,22842.99428
2022/7/17,20769.40226,11390.84,22465.97755
2022/7/16,21192.11367,11421.63,22234.36594
2022/7/15,20831.31137,11452.42,21979.26511
2022/7/14,20587.5358,11251.19,21726.22341
2022/7/13,20187.1528,11247.58,21446.39239
2022/7/12,19313.26076,11264.73,21058.55028
2022/7/11,19992.29457,11372.6,20864.6856
2022/7/10,20857.65584,11460.17,20863.40747
2022/7/9,21592.74175,11547.74,20996.0137
2022/7/8,21801.08221,11635.31,21142.38979
2022/7/7,21647.16593,11621.35,21234.16727
2022/7/6,20557.53555,11361.85,21111.14332
2022/7/5,20185.96233,11322.24,20942.92859
2022/7/4,20255.6454,11273.6425,20817.96801
2022/7/3,19310.0755,11225.045,20543.80574
2022/7/2,19246.50949,11176.4475,20307.93369
2022/7/1,19336.10444,11127.85,20131.23747
2022/6/30,19816.74636,11028.74,20074.05726
2022/6/29,20101.12,11177.89,20078.97776
2022/6/28,20293.4508,11181.54,20117.97286
2022/6/27,20732.9834,11524.55,20229.79296
2022/6/26,21029.2163,11552.24,20375.14266
2022/6/25,21499.97104,11579.93,20579.65691
2022/6/24,21279.53233,11607.62,20706.90698
2022/6/23,21075.1688,11232.19,20773.86368
2022/6/22,19976.05359,11053.08,20628.8073
