Date,Close,latest_size,latest_weight,latest_transaction_count,latest_input_value,latest_tansaction_fee
2022/12/31,16538.3479,1642020,3993003,2452,203902,830
2022/12/30,16603.75195,538817,1556699,1182,2033534,838
2022/12/29,16641.44486,1649483,3993302,3806,20403685,512
2022/12/28,16549.98327,756520,1691659,550,52548106,409
2022/12/27,16706.45971,1619057,3993347,1829,1002753,4294
2022/12/26,16908.94843,228022,609064,573,5365261,10973
2022/12/25,16829.9184,3395,10118,13,11038596,2846
2022/12/24,16833.8821,1491922,3993241,3175,199248871,6804
2022/12/23,16780.46368,1462523,3993335,2290,506765,1866
2022/12/22,16822.06214,1486737,3993357,3195,2000000,2443
2022/12/21,16806.4165,1176469,2818033,1829,19331018,1407
2022/12/20,16902.54219,1594166,3993341,2397,2941326,8814
2022/12/19,16424.79671,1546941,3746328,2817,434155,1562
2022/12/18,16750.76581,175273,472321,371,3302320,178
2022/12/17,16785.8923,266695,678940,353,99980000,1135
2022/12/16,16608.4932,1649932,3992656,2677,163385,5424
2022/12/15,17339.45827,360901,1029583,886,233033,627
2022/12/14,17799.16897,1273014,3426459,2520,3106,606
2022/12/13,17766.35055,951389,2292995,1578,1149714,1090
2022/12/12,17220.81454,1298398,2972218,1102,27300298,584
2022/12/11,17091.91654,220756,585250,523,5995433,607
2022/12/10,17114.34059,819702,2173101,1178,1131062,561
2022/12/9,17123.38673,1501455,3992925,3513,884201,1917
2022/12/8,17254.8416,871890,2135118,1408,6997952,110
2022/12/7,16838.04747,897698,2303105,1769,1868876,1740
2022/12/6,17088.37612,1639756,3993352,1540,302409,19716
2022/12/5,16959.33606,458376,1159620,356,2500,152
2022/12/4,17130.16533,86103,170895,55,584533,429
2022/12/3,16903.72363,1593193,3997978,3034,1191878,7478
2022/12/2,17088.4265,1588799,3992981,2387,2170200,4816
2022/12/1,16956.1893,1535416,3992758,3580,10949547,3885
2022/11/30,17188.63468,1432563,3998256,3437,3926542,14348
2022/11/29,16436.1924,1726413,3998328,2736,5606,313
2022/11/28,16212.40325,1552586,3993215,1834,1540832,4772
2022/11/27,16432.36462,1367362,3993295,2653,4579431,2088
