Date,Close,SMA,EMA,MACD,MACD_signal,MACD_diff
2022/12/31,16538.3479,16834.87704,17139.776,-1497.315859,-1452.855333,-44.46052603
2022/12/30,16603.75195,16775.77436,17042.31708,-1447.648515,-1451.813969,4.165454531
2022/12/29,16641.44486,16732.86139,16969.43122,-1389.231092,-1439.297394,50.06630149
2022/12/28,16549.98327,16693.40576,16893.16796,-1334.926845,-1418.423284,83.49643891
2022/12/27,16706.45971,16668.65452,16859.221,-1264.68549,-1387.675725,122.9902355
2022/12/26,16908.94843,16676.66473,16868.26235,-1179.087772,-1345.958134,166.8703625
2022/12/25,16829.9184,16673.9283,16861.29073,-1104.891525,-1297.744813,192.8532876
2022/12/24,16833.8821,16689.7256,16856.30734,-1033.853013,-1244.966453,211.1134393
2022/12/23,16780.46368,16700.02698,16842.51758,-970.6755581,-1190.108274,219.4327157
2022/12/22,16822.06214,16721.52624,16838.79841,-906.7973257,-1133.446084,226.6487585
2022/12/21,16806.4165,16748.3331,16832.91079,-847.6644908,-1076.289765,228.6252747
2022/12/20,16902.54219,16778.21213,16845.57105,-784.0072058,-1017.833254,233.8260477
2022/12/19,16424.79671,16756.54731,16769.06662,-763.3094599,-966.9284948,203.6190349
2022/12/18,16750.76581,16776.62557,16765.7392,-712.3913612,-916.0210681,203.6297069
2022/12/17,16785.8923,16784.56883,16769.4034,-661.5777308,-865.1324006,203.5546699
2022/12/16,16608.4932,16754.5233,16740.147,-628.3786295,-817.7816464,189.4030169
2022/12/15,17339.45827,16805.47729,16849.11269,-536.8963237,-761.6045819,224.7082582
2022/12/14,17799.16897,16902.00598,17021.85019,-422.4315969,-693.7699849,271.338388
2022/12/13,17766.35055,17000.59466,17157.21389,-330.5552139,-621.1270307,290.5718168
2022/12/12,17220.81454,17040.4699,17168.77765,-298.3238244,-556.5663894,258.242565
2022/12/11,17091.91654,17069.01991,17154.8029,-279.9540711,-501.2439257,221.2898547
2022/12/10,17114.34059,17090.19975,17147.44612,-260.582641,-453.1116688,192.5290278
2022/12/9,17123.38673,17160.05875,17143.07168,-241.7143626,-410.8322076,169.1178449
2022/12/8,17254.8416,17210.46633,17163.39348,-213.6905156,-371.4038692,157.7133535
2022/12/7,16838.04747,17215.68185,17104.23966,-222.5478246,-341.6326603,119.0848357
2022/12/6,17088.37612,17263.67014,17101.35538,-206.9819176,-314.7025117,107.7205941
2022/12/5,16959.33606,17225.65792,17075.53369,-202.7214318,-292.3062957,89.58486392
2022/12/4,17130.16533,17158.75755,17085.46671,-183.4458225,-270.5342011,87.08837857
2022/12/3,16903.72363,17072.49486,17052.42252,-184.3170244,-253.2907658,68.97374133
2022/12/2,17088.4265,17059.25606,17058.96869,-168.1649787,-236.2656084,68.10062968
2022/12/1,16956.1893,17045.68333,17040.28153,-164.1426684,-221.8410204,57.69835195
2022/11/30,17188.63468,17053.11274,17067.25483,-140.5780626,-205.5884288,65.01036617
2022/11/29,16436.1924,16984.39331,16952.51621,-180.537621,-200.5782673,20.04064623
2022/11/28,16212.40325,16880.14947,16817.95021,-227.6396846,-205.9905507,-21.64913389
2022/11/27,16432.36462,16839.58119,16747.84374,-244.4020507,-213.6728507,-30.72919994
2022/11/26,16461.19452,16776.86303,16695.7257,-252.4499285,-221.4282663,-31.02166222
2022/11/25,16511.91128,16732.12055,16662.3049,-251.8325424,-227.5091215,-24.32342088
2022/11/24,16597.7313,16678.87715,16650.56424,-241.6329071,-230.3338786,-11.2990285
2022/11/23,16615.2292,16650.0277,16644.13969,-229.4922447,-230.1655518,0.673307169
2022/11/22,16174.9574,16558.68079,16558.83382,-252.4864305,-234.6297276,-17.85670297
2022/11/21,15779.9717,16441.05903,16417.22253,-299.1333107,-247.5304442,-51.60286653
2022/11/20,16291.4477,16351.34034,16394.35438,-291.469581,-256.3182716,-35.15130942
2022/11/19,16715.83859,16379.30496,16452.80605,-248.2890994,-254.7124371,6.423337687
2022/11/18,16711.14178,16429.17881,16499.77618,-212.0034066,-246.170631,34.1672244
2022/11/17,16690.88953,16455.0313,16534.52406,-182.7740165,-233.4913081,50.71729164
2022/11/16,16673.50771,16476.26262,16559.79382,-159.177186,-218.6284837,59.45129773
2022/11/15,16894.9265,16514.56414,16620.72703,-121.2126184,-199.1453106,77.93269224
2022/11/14,16630.63746,16517.85476,16622.52893,-111.1698447,-181.5502174,70.38037273
2022/11/13,16349.9976,16491.3316,16572.97778,-124.4219078,-170.1245555,45.70264771
2022/11/12,16802.1943,16554.05529,16614.65351,-97.31399339,-155.5624431,58.24844971
2022/11/11,17104.1984,16686.47796,16703.66167,-50.87511236,-134.6249769,83.74986458
2022/11/10,17590.41467,16816.37466,16864.88949,24.87488307,-102.7250049,127.599888
2022/11/9,15789.34242,16723.72504,16669.33548,-59.73558363,-94.12712068,34.39153705
2022/11/8,18528.52093,16905.46295,17007.3692,93.16487821,-56.6687209,149.8335991
2022/11/7,20591.7459,17295.54859,17659.07405,376.4847265,29.96196857,346.5227579
2022/11/6,20913.0539,17719.50321,18250.70675,619.7999497,147.9295648,471.8703849
2022/11/5,21281.5851,18158.16907,18801.77554,832.7667879,284.8970094,547.8697785
2022/11/4,21156.078,18610.71312,19229.83053,980.1189661,423.9414008,556.1775653
2022/11/3,20208.59651,18996.57301,19407.78798,1008.813813,540.9158832,467.8979299
2022/11/2,20151.52308,19331.50589,19543.01255,1015.246211,635.7819488,379.4642622
2022/11/1,20481.5549,19669.24154,19713.65661,1035.043407,715.6342403,319.4091662
2022/10/31,20504.46023,19960.6461,19857.43909,1040.585869,780.6245661,259.9613029
2022/10/30,20621.7479,20443.88664,19996.40433,1042.426007,832.9848543,209.4411529
2022/10/29,20811.98837,20672.23339,20144.69233,1047.16409,875.8207014,171.3433885
2022/10/28,20608.2579,20673.88459,20228.97698,1022.690766,905.1947144,117.4960517
2022/10/27,20283.97975,20610.97717,20238.97748,965.9935714,917.3544858,48.63908564
2022/10/26,20754.02397,20558.22106,20332.6223,948.0606239,923.4957134,24.56491052
